timestamp,Q_in [m3/s],Q_dmv [m3/s],Q_t [m3/s],Water balance [m3/s],Reservoir Volume [m3],Water level [m slm],Volume loss [m3],Overflow [m3/s],Cum Volume loss [m3],Cum Volume turb [m3
2023-01-01 00:00:00,0.0,2,0,-2.0,22635467,822.82,0,0.0,0,0
2023-01-01 01:00:00,29.6,2,0,27.6,22734647,822.87,0,0.0,0,0
2023-01-01 02:00:00,56.0,2,0,54.0,22928903,822.96,0,0.0,0,0
2023-01-01 03:00:00,79.6,2,0,77.6,23208119,823.1,0,0.0,0,0
2023-01-01 04:00:00,100.6,2,0,98.6,23563259,823.28,0,0.0,0,0
2023-01-01 05:00:00,119.5,2,0,117.5,23986223,823.49,0,0.0,0,0
2023-01-01 06:00:00,136.3,2,0,134.3,24469811,823.73,0,0.0,0,0
2023-01-01 07:00:00,151.4,2,0,149.4,25007579,824.0,0,0.0,0,0
2023-01-01 08:00:00,164.8,2,0,162.8,25593767,824.3,0,0.0,0,0
2023-01-01 09:00:00,176.8,2,0,174.8,26223227,824.61,0,0.0,0,0
2023-01-01 10:00:00,187.6,2,0,185.6,26891315,824.95,0,0.0,0,0
2023-01-01 11:00:00,197.2,2,0,195.2,27593963,825.23,0,0.0,0,0
2023-01-01 12:00:00,205.8,2,0,203.8,28327463,825.51,0,0.0,0,0
2023-01-01 13:00:00,213.4,2,0,211.4,29088575,825.8,0,0.0,0,0
2023-01-01 14:00:00,220.3,2,0,218.3,29874311,826.11,0,0.0,0,0
2023-01-01 15:00:00,226.4,2,0,224.4,30682079,826.42,0,0.0,0,0
2023-01-01 16:00:00,231.8,2,0,229.8,31509539,826.73,0,0.0,0,0
2023-01-01 17:00:00,236.7,2,0,234.7,32354603,827.06,0,0.0,0,0
2023-01-01 18:00:00,241.1,2,0,239.1,33215363,827.39,0,0.0,0,0
2023-01-01 19:00:00,245.0,2,0,243.0,34090199,827.73,0,0.0,0,0
2023-01-01 20:00:00,248.5,2,0,246.5,34977563,828.07,0,0.0,0,0
2023-01-01 21:00:00,251.6,2,0,249.6,35876159,828.41,0,0.0,0,0
2023-01-01 22:00:00,254.4,2,0,252.4,36784763,828.76,0,0.0,0,0
2023-01-01 23:00:00,256.9,2,0,254.9,37702331,829.12,0,0.0,0,0
2023-01-02 00:00:00,256.9,2,0,254.9,38619899,829.47,0,0.0,0,0
2023-01-02 01:00:00,229.6,2,0,227.6,39439079,829.78,0,0.0,0,0
2023-01-02 02:00:00,205.1,2,0,203.1,40000000,830.0,170347,47.3,170347,0
2023-01-02 03:00:00,183.3,2,0,181.3,40000000,830.0,652680,181.3,823027,0
2023-01-02 04:00:00,163.8,2,0,161.8,40000000,830.0,582480,161.8,1405507,0
2023-01-02 05:00:00,146.4,2,0,144.4,40000000,830.0,519768,144.4,1925275,0
2023-01-02 06:00:00,130.8,2,0,128.8,40000000,830.0,463680,128.8,2388955,0
2023-01-02 07:00:00,116.9,2,0,114.9,40000000,830.0,413604,114.9,2802559,0
2023-01-02 08:00:00,104.4,2,0,102.4,40000000,830.0,368820,102.4,3171379,0
2023-01-02 09:00:00,93.3,2,0,91.3,40000000,830.0,328824,91.3,3500203,0
2023-01-02 10:00:00,83.4,2,0,81.4,40000000,830.0,293076,81.4,3793279,0
2023-01-02 11:00:00,74.5,2,0,72.5,40000000,830.0,261108,72.5,4054387,0
2023-01-02 12:00:00,66.6,2,0,64.6,40000000,830.0,232560,64.6,4286947,0
2023-01-02 13:00:00,59.5,2,0,57.5,40000000,830.0,207072,57.5,4494019,0
2023-01-02 14:00:00,53.2,2,0,51.2,40000000,830.0,184284,51.2,4678303,0
2023-01-02 15:00:00,47.5,2,0,45.5,40000000,830.0,163908,45.5,4842211,0
2023-01-02 16:00:00,42.5,2,0,40.5,40000000,830.0,145692,40.5,4987903,0
2023-01-02 17:00:00,38.0,2,0,36.0,40000000,830.0,129420,36.0,5117323,0
2023-01-02 18:00:00,33.9,2,0,31.9,40000000,830.0,114912,31.9,5232235,0
2023-01-02 19:00:00,30.3,2,0,28.3,40000000,830.0,101916,28.3,5334151,0
2023-01-02 20:00:00,27.1,2,0,25.1,40000000,830.0,90288,25.1,5424439,0
2023-01-02 21:00:00,24.2,2,0,22.2,40000000,830.0,79920,22.2,5504359,0
