timestamp,Q_in [m3/s],Q_dmv [m3/s],Q_t [m3/s],Water balance [m3/s],Reservoir Volume [m3],Water level [m slm],Volume loss [m3],Overflow [m3/s],Cum Volume loss [m3],Cum Volume turb [m3
2023-01-01 00:00:00,0.0,2,16,-18.0,22577867,822.79,0,0.0,0,57600
2023-01-01 01:00:00,10.5,2,16,-7.5,22550867,822.78,0,0.0,0,115200
2023-01-01 02:00:00,18.4,2,16,0.4,22552127,822.78,0,0.0,0,172800
2023-01-01 03:00:00,24.2,2,16,6.2,22574555,822.79,0,0.0,0,230400
2023-01-01 04:00:00,28.6,2,16,10.6,22612787,822.81,0,0.0,0,288000
2023-01-01 05:00:00,31.9,2,16,13.9,22662863,822.83,0,0.0,0,345600
2023-01-01 06:00:00,34.4,2,16,16.4,22721795,822.86,0,0.0,0,403200
2023-01-01 07:00:00,36.2,2,16,18.2,22787351,822.89,0,0.0,0,460800
2023-01-01 08:00:00,37.6,2,16,19.6,22857839,822.93,0,0.0,0,518400
2023-01-01 09:00:00,38.6,2,16,20.6,22932035,822.97,0,0.0,0,576000
2023-01-01 10:00:00,39.4,2,16,21.4,23009003,823.0,0,0.0,0,633600
2023-01-01 11:00:00,40.0,2,16,22.0,23088059,823.04,0,0.0,0,691200
2023-01-01 12:00:00,40.4,2,16,22.4,23168663,823.08,0,0.0,0,748800
2023-01-01 13:00:00,40.7,2,16,22.7,23250419,823.13,0,0.0,0,806400
2023-01-01 14:00:00,41.0,2,16,23.0,23333039,823.17,0,0.0,0,864000
2023-01-01 15:00:00,41.1,2,16,23.1,23416307,823.21,0,0.0,0,921600
2023-01-01 16:00:00,41.3,2,16,23.3,23500079,823.25,0,0.0,0,979200
2023-01-01 17:00:00,41.4,2,16,23.4,23584211,823.29,0,0.0,0,1036800
2023-01-01 18:00:00,41.4,2,16,23.4,23668595,823.33,0,0.0,0,1094400
2023-01-01 19:00:00,41.5,2,16,23.5,23753195,823.38,0,0.0,0,1152000
2023-01-01 20:00:00,41.5,2,16,23.5,23837939,823.42,0,0.0,0,1209600
2023-01-01 21:00:00,41.6,2,16,23.6,23922791,823.46,0,0.0,0,1267200
2023-01-01 22:00:00,41.6,2,16,23.6,24007751,823.5,0,0.0,0,1324800
2023-01-01 23:00:00,41.6,2,16,23.6,24092747,823.55,0,0.0,0,1382400
2023-01-02 00:00:00,41.6,2,16,23.6,24177743,823.59,0,0.0,0,1440000
2023-01-02 01:00:00,31.1,2,16,13.1,24225011,823.61,0,0.0,0,1497600
2023-01-02 02:00:00,23.3,2,16,5.3,24244019,823.62,0,0.0,0,1555200
2023-01-02 03:00:00,17.4,2,16,-0.6,24241931,823.62,0,0.0,0,1612800
2023-01-02 04:00:00,13.0,2,16,-5.0,24224039,823.61,0,0.0,0,1670400
2023-01-02 05:00:00,9.7,2,16,-8.3,24194303,823.6,0,0.0,0,1728000
2023-01-02 06:00:00,7.3,2,16,-10.7,24155747,823.58,0,0.0,0,1785600
2023-01-02 07:00:00,5.4,2,16,-12.6,24110567,823.56,0,0.0,0,1843200
2023-01-02 08:00:00,4.1,2,16,-13.9,24060455,823.53,0,0.0,0,1900800
2023-01-02 09:00:00,3.0,2,16,-15.0,24006635,823.5,0,0.0,0,1958400
2023-01-02 10:00:00,2.3,2,16,-15.7,23950043,823.48,0,0.0,0,2016000
2023-01-02 11:00:00,1.7,2,16,-16.3,23891399,823.45,0,0.0,0,2073600
2023-01-02 12:00:00,1.3,2,16,-16.7,23831207,823.42,0,0.0,0,2131200
2023-01-02 13:00:00,1.0,2,16,-17.0,23769827,823.38,0,0.0,0,2188800
2023-01-02 14:00:00,0.7,2,16,-17.3,23707583,823.35,0,0.0,0,2246400
2023-01-02 15:00:00,0.5,2,16,-17.5,23644691,823.32,0,0.0,0,2304000
2023-01-02 16:00:00,0.4,2,16,-17.6,23581331,823.29,0,0.0,0,2361600
2023-01-02 17:00:00,0.3,2,16,-17.7,23517611,823.26,0,0.0,0,2419200
2023-01-02 18:00:00,0.2,2,16,-17.8,23453603,823.23,0,0.0,0,2476800
2023-01-02 19:00:00,0.2,2,16,-17.8,23389415,823.19,0,0.0,0,2534400
2023-01-02 20:00:00,0.1,2,16,-17.9,23325083,823.16,0,0.0,0,2592000
2023-01-02 21:00:00,0.1,2,16,-17.9,23260607,823.13,0,0.0,0,2649600
2023-01-02 22:00:00,0.1,2,16,-17.9,23196059,823.1,0,0.0,0,2707200
2023-01-02 23:00:00,0.0,2,16,-18.0,23131439,823.07,0,0.0,0,2764800
2023-01-03 00:00:00,0.0,2,16,-18.0,23066783,823.03,0,0.0,0,2822400
2023-01-03 01:00:00,0.0,2,16,-18.0,23002091,823.0,0,0.0,0,2880000
2023-01-03 02:00:00,0.0,2,16,-18.0,22937363,822.97,0,0.0,0,2937600
2023-01-03 03:00:00,0.0,2,16,-18.0,22872635,822.94,0,0.0,0,2995200
2023-01-03 04:00:00,0.0,2,16,-18.0,22807871,822.9,0,0.0,0,3052800
2023-01-03 05:00:00,0.0,2,16,-18.0,22743107,822.87,0,0.0,0,3110400
2023-01-03 06:00:00,0.0,2,16,-18.0,22678343,822.84,0,0.0,0,3168000
