,T_0 - Water level [m slm],T_0 - Overflow [m3/s],T_MAX - Water level [m slm],T_MAX - Overflow [m3/s],T_ORD - Water level [m slm],T_ORD - Overflow [m3/s]
0,822.82,0.0,822.79,0.0,822.82,0.0
1,822.87,0.0,822.81,0.0,822.87,0.0
2,822.96,0.0,822.88,0.0,822.96,0.0
3,823.1,0.0,822.99,0.0,823.1,0.0
4,823.28,0.0,823.14,0.0,823.28,0.0
5,823.49,0.0,823.32,0.0,823.49,0.0
6,823.73,0.0,823.53,0.0,823.73,0.0
7,824.0,0.0,823.77,0.0,824.0,0.0
8,824.3,0.0,824.04,0.0,824.3,0.0
9,824.61,0.0,824.32,0.0,824.61,0.0
10,824.95,0.0,824.63,0.0,824.92,0.0
11,825.23,0.0,824.95,0.0,825.2,0.0
12,825.51,0.0,825.22,0.0,825.46,0.0
13,825.8,0.0,825.49,0.0,825.74,0.0
14,826.11,0.0,825.77,0.0,826.02,0.0
15,826.42,0.0,826.06,0.0,826.32,0.0
16,826.73,0.0,826.36,0.0,826.62,0.0
17,827.06,0.0,826.66,0.0,826.93,0.0
18,827.39,0.0,826.97,0.0,827.26,0.0
19,827.73,0.0,827.28,0.0,827.59,0.0
20,828.07,0.0,827.6,0.0,827.94,0.0
21,828.41,0.0,827.93,0.0,828.28,0.0
22,828.76,0.0,828.25,0.0,828.63,0.0
23,829.12,0.0,828.58,0.0,828.98,0.0
24,829.47,0.0,828.92,0.0,829.34,0.0
25,829.78,0.0,829.21,0.0,829.65,0.0
26,830.0,47.3,829.47,0.0,829.93,0.0
27,830.0,181.3,829.7,0.0,830.0,132.6
28,830.0,161.8,829.9,0.0,830.0,161.8
29,830.0,144.4,830.0,54.8,830.0,144.4
30,830.0,128.8,830.0,112.8,830.0,128.8
31,830.0,114.9,830.0,98.9,830.0,114.9
32,830.0,102.4,830.0,86.4,830.0,102.4
33,830.0,91.3,830.0,75.3,830.0,91.3
34,830.0,81.4,830.0,65.4,830.0,69.4
35,830.0,72.5,830.0,56.5,830.0,60.5
36,830.0,64.6,830.0,48.6,830.0,52.6
37,830.0,57.5,830.0,41.5,830.0,45.5
38,830.0,51.2,830.0,35.2,830.0,39.2
39,830.0,45.5,830.0,29.5,830.0,33.5
40,830.0,40.5,830.0,24.5,830.0,28.5
41,830.0,36.0,830.0,20.0,830.0,24.0
42,830.0,31.9,830.0,15.9,830.0,31.9
43,830.0,28.3,830.0,12.3,830.0,28.3
44,830.0,25.1,830.0,9.1,830.0,25.1
45,830.0,22.2,830.0,6.2,830.0,22.2
46,830.0,19.6,830.0,3.6,830.0,19.6
47,830.0,17.3,830.0,1.3,830.0,17.3
48,830.0,15.3,830.0,0.0,830.0,15.3
49,830.0,13.4,830.0,0.0,830.0,13.4
50,830.0,11.8,829.99,0.0,830.0,11.8
51,830.0,10.3,829.98,0.0,830.0,10.3
52,830.0,9.0,829.97,0.0,830.0,9.0
53,830.0,7.8,829.96,0.0,830.0,7.8
54,830.0,6.8,829.95,0.0,830.0,6.8
55,830.0,5.9,829.93,0.0,830.0,5.9
56,830.0,5.0,829.92,0.0,830.0,5.0
57,830.0,4.3,829.9,0.0,830.0,4.3
58,830.0,3.6,829.89,0.0,829.99,0.0
59,830.0,3.0,829.87,0.0,829.98,0.0
60,830.0,2.5,829.85,0.0,829.96,0.0
61,830.0,2.0,829.83,0.0,829.95,0.0
62,830.0,1.6,829.81,0.0,829.93,0.0
63,830.0,1.2,829.79,0.0,829.92,0.0
64,830.0,0.9,829.77,0.0,829.9,0.0
65,830.0,0.6,829.75,0.0,829.89,0.0
66,830.0,0.3,829.72,0.0,829.89,0.0
67,830.0,0.0,829.7,0.0,829.89,0.0
68,830.0,0.0,829.68,0.0,829.89,0.0
69,830.0,0.0,829.66,0.0,829.89,0.0
70,830.0,0.0,829.63,0.0,829.89,0.0
71,830.0,0.0,829.61,0.0,829.89,0.0
72,830.0,0.0,829.59,0.0,829.89,0.0
