,T_0 - Water level [m slm],T_0 - Overflow [m3/s],T_MAX - Water level [m slm],T_MAX - Overflow [m3/s],T_ORD - Water level [m slm],T_ORD - Overflow [m3/s]
0,822.82,0.0,822.79,0.0,822.82,0.0
1,822.83,0.0,822.78,0.0,822.83,0.0
2,822.86,0.0,822.78,0.0,822.86,0.0
3,822.9,0.0,822.79,0.0,822.9,0.0
4,822.95,0.0,822.81,0.0,822.95,0.0
5,823.0,0.0,822.83,0.0,823.0,0.0
6,823.06,0.0,822.86,0.0,823.06,0.0
7,823.12,0.0,822.89,0.0,823.12,0.0
8,823.19,0.0,822.93,0.0,823.19,0.0
9,823.25,0.0,822.97,0.0,823.25,0.0
10,823.32,0.0,823.0,0.0,823.3,0.0
11,823.39,0.0,823.04,0.0,823.35,0.0
12,823.46,0.0,823.08,0.0,823.39,0.0
13,823.53,0.0,823.13,0.0,823.44,0.0
14,823.6,0.0,823.17,0.0,823.49,0.0
15,823.67,0.0,823.21,0.0,823.54,0.0
16,823.74,0.0,823.25,0.0,823.59,0.0
17,823.81,0.0,823.29,0.0,823.64,0.0
18,823.88,0.0,823.33,0.0,823.71,0.0
19,823.95,0.0,823.38,0.0,823.78,0.0
20,824.02,0.0,823.42,0.0,823.85,0.0
21,824.09,0.0,823.46,0.0,823.92,0.0
22,824.17,0.0,823.5,0.0,823.99,0.0
23,824.24,0.0,823.55,0.0,824.06,0.0
24,824.31,0.0,823.59,0.0,824.14,0.0
25,824.36,0.0,823.61,0.0,824.19,0.0
26,824.4,0.0,823.62,0.0,824.23,0.0
27,824.43,0.0,823.62,0.0,824.25,0.0
28,824.45,0.0,823.61,0.0,824.27,0.0
29,824.46,0.0,823.6,0.0,824.29,0.0
30,824.47,0.0,823.58,0.0,824.3,0.0
31,824.48,0.0,823.56,0.0,824.3,0.0
32,824.48,0.0,823.53,0.0,824.31,0.0
33,824.48,0.0,823.5,0.0,824.31,0.0
34,824.48,0.0,823.48,0.0,824.29,0.0
35,824.48,0.0,823.45,0.0,824.27,0.0
36,824.48,0.0,823.42,0.0,824.24,0.0
37,824.48,0.0,823.38,0.0,824.22,0.0
38,824.48,0.0,823.35,0.0,824.2,0.0
39,824.47,0.0,823.32,0.0,824.17,0.0
40,824.47,0.0,823.29,0.0,824.15,0.0
41,824.47,0.0,823.26,0.0,824.12,0.0
42,824.47,0.0,823.23,0.0,824.12,0.0
43,824.46,0.0,823.19,0.0,824.12,0.0
44,824.46,0.0,823.16,0.0,824.11,0.0
45,824.46,0.0,823.13,0.0,824.11,0.0
46,824.45,0.0,823.1,0.0,824.11,0.0
47,824.45,0.0,823.07,0.0,824.1,0.0
48,824.44,0.0,823.03,0.0,824.1,0.0
49,824.44,0.0,823.0,0.0,824.1,0.0
50,824.44,0.0,822.97,0.0,824.09,0.0
51,824.43,0.0,822.94,0.0,824.09,0.0
52,824.43,0.0,822.9,0.0,824.08,0.0
53,824.43,0.0,822.87,0.0,824.08,0.0
54,824.42,0.0,822.84,0.0,824.08,0.0
55,824.42,0.0,822.81,0.0,824.07,0.0
56,824.42,0.0,822.77,0.0,824.07,0.0
57,824.41,0.0,822.74,0.0,824.07,0.0
58,824.41,0.0,822.71,0.0,824.04,0.0
59,824.41,0.0,822.68,0.0,824.02,0.0
60,824.4,0.0,822.64,0.0,823.99,0.0
61,824.4,0.0,822.61,0.0,823.97,0.0
62,824.39,0.0,822.58,0.0,823.94,0.0
63,824.39,0.0,822.55,0.0,823.92,0.0
64,824.39,0.0,822.52,0.0,823.89,0.0
65,824.38,0.0,822.48,0.0,823.87,0.0
66,824.38,0.0,822.45,0.0,823.86,0.0
67,824.38,0.0,822.42,0.0,823.86,0.0
68,824.37,0.0,822.39,0.0,823.85,0.0
69,824.37,0.0,822.35,0.0,823.85,0.0
70,824.37,0.0,822.32,0.0,823.85,0.0
71,824.36,0.0,822.29,0.0,823.84,0.0
72,824.36,0.0,822.26,0.0,823.84,0.0
